STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;PRCP;TAVG;TMAX;TMIN
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-01;0;20.65;28.7;12.6
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-02;3.8;21.2;29.7;12.7
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-03;6.9;19.2;27.2;11.2
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-04;0.7;16.55;23.9;9.2
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-05;183;13.6;18.1;9.1
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-06;20;9.95;15.9;4
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-07;30;9.65;15.5;3.8
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-08;11;12.2;18.5;5.9
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-09;14.5;13.35;21.2;5.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-10;11.5;14.55;21.6;7.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-11;0.5;17.65;25.8;9.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1981-12;0;20.2;29.7;10.7
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-01;0;21.1;29.8;12.4
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-02;0;20.25;28.8;11.7
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-03;14.6;19.35;27.9;10.8
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-04;0.8;15.7;22.9;8.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-05;111;12.25;18.2;6.3
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-06;275.5;10.4;13.7;7.1
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-07;102.9;10.5;14.3;6.7
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-08;64.8;11.85;17.4;6.3
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-09;39.5;13.45;18.3;8.6
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-10;14.3;15.2;22.2;8.2
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-11;0;17.1;24.6;9.6
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1982-12;0;21.15;29.1;13.2
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-01;9.4;21.9;29.4;14.4
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-02;0.6;21.85;30.4;13.3
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-03;0;19.15;27.3;11
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-04;24.5;16.5;24.1;8.9
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-05;57.5;11.6;17.8;5.4
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-06;103;8;13.1;2.9
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-07;89.8;8.5;14.3;2.7
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-08;44.5;10.55;16.4;4.7
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-09;34.9;11.4;17.9;4.9
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-10;0.6;16.55;24.5;8.6
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-11;0.3;18.95;26.9;11
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1983-12;0;20.9;29;12.8
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-01;0;22;30.5;13.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-02;0;20.25;29;11.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-03;2;18.85;26.2;11.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-04;1.4;16.25;25.2;7.3
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-05;65.5;10.25;15.9;4.6
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-06;40.5;8.6;12.8;4.4
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-07;245.9;9.75;14.9;4.6
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-08;48.6;10.25;16.4;4.1
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-09;24.4;13.6;19.4;7.8
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-10;20.9;15.95;22.8;9.1
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-11;6.3;16.5;23.5;9.5
SPE00120296;SANTIAGO;-33.444999;-70.682777;534;1984-12;0;19.85;27.9;11.8
